"product_family","priority","avg_lead_time_days","num_work_orders"
"Analog",2,"0.62965788897931456961","7875"
"Analog",0,"0.62946762401451258767","7827"
"Analog",3,"0.62901426269012547194","7798"
"Analog",1,"0.62857544173669558244","8053"
"Logic",1,"0.45652799472859572537","7903"
"Logic",3,"0.45521189845338991061","7904"
"Logic",2,"0.45509541307489081732","8005"
"Logic",0,"0.45412881465594540016","7730"
"Memory",3,"0.41596815392101637231","3929"
"Memory",0,"0.41532189161011795955","3971"
"Memory",1,"0.41458593312102604781","3849"
"Memory",2,"0.41438835385262929379","3914"
