"work_order_id","product_family","priority","lead_time_days"
"WO-25228407449","Analog",0,"0.83836305074328703704"
"WO-25691025153","Analog",3,"0.83280603258469907407"
"WO-2538518972","Analog",1,"0.82101931323666666667"
"WO-25436910239","Analog",1,"0.81281135966431712963"
"WO-25550408576","Analog",3,"0.81207513549391203704"
"WO-25435760721","Analog",2,"0.80780347810545138889"
"WO-2537984487","Analog",3,"0.80122741397785879630"
"WO-25616302489","Analog",3,"0.80122578464223379630"
"WO-25135084262","Analog",3,"0.79924853438707407407"
"WO-25463686866","Analog",0,"0.79835731253381944444"
"WO-25297678894","Analog",1,"0.79782295546461805556"
"WO-25324623087","Analog",2,"0.79746105238859953704"
"WO-25538679844","Analog",3,"0.79609427458281250000"
"WO-25745169462","Analog",2,"0.79575634983018518519"
"WO-25552176157","Analog",1,"0.79557885478789351852"
"WO-25515781051","Analog",0,"0.79499900286640046296"
"WO-2557208576","Analog",1,"0.79428273501909722222"
"WO-25895508646","Analog",3,"0.79426664976005555556"
"WO-25880592998","Analog",2,"0.79398432436988425926"
"WO-25573571393","Analog",1,"0.79006411367199884259"
